Date,Open,High,Low,Close,Volume,SMA,EMA,MACD,ADX,SAR,RSI,ROC,CCI,ATR,Bbands_Upper,Bbands_Middle,Bbands_Lower,OBV,MFI
2023-10-03,144.95,145.62,140.86,141.58,4184100,151.56,150.36,-3.45,27.11,151.82,23.32,-11.42,-151.76,2.62,160.88,151.56,142.24,150509000.00,24.73
2023-10-04,142.41,143.41,140.95,143.13,3476700,151.01,149.67,-3.59,28.77,149.84,29.04,-8.14,-132.54,2.61,160.93,151.01,141.08,153985700.00,17.25
2023-10-05,142.68,144.61,141.89,144.16,2706200,150.56,149.15,-3.58,29.58,148.23,32.69,-7.31,-102.40,2.62,160.87,150.56,140.26,156691900.00,6.53
2023-10-06,143.79,147.36,143.23,146.35,3204600,150.20,148.88,-3.36,28.87,140.86,39.70,-4.64,-65.76,2.72,160.55,150.20,139.84,159896500.00,14.16
2023-10-09,144.66,146.48,144.49,145.86,2279400,149.79,148.59,-3.19,28.21,140.99,38.73,-3.41,-60.67,2.67,160.15,149.79,139.42,157617100.00,14.20
2023-10-10,146.53,148.71,146.04,147.93,2909100,149.45,148.53,-2.85,26.56,141.12,44.87,-1.00,-29.05,2.68,159.58,149.45,139.31,160526200.00,20.89
2023-10-11,148.42,149.77,146.78,148.50,1727000,149.10,148.53,-2.51,24.73,141.42,46.46,-0.72,-12.89,2.71,158.88,149.10,139.33,162253200.00,25.70
2023-10-12,149.47,149.68,147.12,148.27,2377200,148.62,148.50,-2.23,23.03,141.92,45.90,0.52,-6.20,2.70,157.52,148.62,139.72,159876000.00,31.61
2023-10-13,149.88,151.07,147.44,148.10,2951500,148.04,148.46,-2.00,22.03,142.39,45.43,1.21,15.72,2.76,155.30,148.04,140.77,156924500.00,38.45
2023-10-16,149.34,150.36,148.20,149.75,2586300,147.73,148.59,-1.67,21.10,143.09,50.51,2.12,43.29,2.73,154.12,147.73,141.34,159510800.00,44.52
2023-10-17,148.55,151.65,148.49,151.32,3919400,147.52,148.85,-1.26,20.76,143.73,54.80,3.91,85.43,2.76,153.09,147.52,141.95,163430200.00,53.76
2023-10-18,150.07,150.54,148.12,148.52,2632200,147.27,148.82,-1.15,20.25,144.52,46.97,1.79,57.62,2.79,152.16,147.27,142.38,160798000.00,54.82
2023-10-19,147.42,152.95,146.05,146.64,4642200,147.05,148.61,-1.20,20.67,145.23,42.59,3.57,49.34,3.08,151.64,147.05,142.47,156155800.00,53.35
2023-10-20,141.82,145.00,138.63,138.75,8268100,146.52,147.67,-1.86,20.26,152.95,29.92,-3.05,-186.52,3.44,152.22,146.52,140.82,147887700.00,47.41
2023-10-23,138.69,142.95,138.11,141.71,5313500,146.13,147.10,-2.11,20.02,152.95,37.44,-1.70,-156.36,3.54,152.02,146.13,140.24,153201200.00,56.90
2023-10-24,142.95,143.60,140.69,141.55,3521100,145.83,146.57,-2.30,19.54,152.35,37.20,-3.28,-109.76,3.49,152.01,145.83,139.66,149680100.00,63.87
2023-10-25,141.22,141.96,140.38,140.67,2841400,145.55,146.01,-2.50,19.19,151.78,35.87,-3.56,-117.38,3.35,152.11,145.55,138.98,146838700.00,58.33
2023-10-26,140.52,142.03,140.15,140.49,3378000,145.24,145.49,-2.63,18.94,151.24,35.60,-5.03,-104.01,3.25,152.14,145.24,138.34,143460700.00,51.73
2023-10-27,140.99,141.10,138.23,138.50,3442500,144.88,144.82,-2.87,19.31,150.71,32.60,-6.73,-120.70,3.22,152.38,144.88,137.39,140018200.00,50.69
2023-10-30,139.88,141.00,138.91,140.42,3303300,144.61,144.40,-2.87,19.66,150.21,38.04,-5.29,-91.21,3.17,152.33,144.61,136.89,143321500.00,50.91
2023-10-31,140.48,143.76,140.22,143.13,3737200,144.69,144.28,-2.62,18.71,149.72,44.79,-3.36,-46.53,3.20,152.32,144.69,137.06,147058700.00,52.69
2023-11-01,143.58,143.90,142.25,143.54,2332600,144.71,144.21,-2.36,17.77,149.26,45.76,-4.15,-30.87,3.09,152.32,144.71,137.09,149391300.00,52.58
2023-11-02,145.38,147.91,145.38,147.85,3108400,144.89,144.56,-1.79,17.56,148.81,54.73,-2.29,40.32,3.18,152.62,144.89,137.16,152499700.00,52.69
2023-11-03,149.55,150.82,149.37,149.72,2667700,145.06,145.05,-1.17,18.18,138.11,57.98,0.81,88.04,3.16,153.05,145.06,137.07,155167400.00,52.77
2023-11-06,149.57,150.03,148.50,149.95,2490000,145.27,145.51,-0.65,18.38,138.36,58.37,2.25,72.14,3.05,153.53,145.27,137.00,157657400.00,46.36
2023-11-07,149.93,150.73,149.32,149.94,1583300,145.37,145.94,-0.24,18.76,138.61,58.34,8.06,76.68,2.93,153.81,145.37,136.92,156074100.00,50.62
2023-11-08,149.93,150.74,149.40,149.97,1804500,145.44,146.32,0.09,19.11,138.86,58.40,5.82,74.46,2.82,154.01,145.44,136.86,157878600.00,57.69
2023-11-09,150.62,151.09,149.03,149.34,2052900,145.49,146.61,0.29,19.26,139.09,56.59,5.50,68.49,2.76,154.15,145.49,136.83,155825700.00,65.95
2023-11-10,150.00,151.41,149.08,151.31,2088100,145.65,147.06,0.61,19.50,139.57,60.71,7.57,78.38,2.73,154.61,145.65,136.69,157913800.00,63.28
2023-11-13,151.02,152.17,150.45,151.27,1753600,145.73,147.46,0.84,19.98,140.28,60.58,7.67,86.43,2.66,154.85,145.73,136.61,156160200.00,61.66
2023-11-14,153.49,154.78,152.93,153.79,2968600,145.85,148.06,1.22,21.18,141.24,65.44,11.04,119.68,2.72,155.33,145.85,136.37,159128800.00,69.53
2023-11-15,154.40,156.27,153.88,156.26,3272600,146.24,148.84,1.70,22.67,142.59,69.41,11.28,131.14,2.70,156.71,146.24,135.77,162401400.00,78.53
2023-11-16,156.48,156.92,154.83,155.89,3749100,146.70,149.51,2.02,24.20,144.23,68.14,8.92,123.00,2.66,157.98,146.70,135.42,158652300.00,87.65
2023-11-17,156.73,159.35,156.73,159.33,2975800,147.73,150.45,2.53,26.13,146.01,73.05,11.00,141.06,2.72,159.66,147.73,135.80,161628100.00,87.67
2023-11-20,159.67,161.38,159.52,160.59,3242900,148.67,151.41,3.00,28.29,148.14,74.61,8.62,151.22,2.67,161.50,148.67,135.85,164871000.00,87.64
2023-11-21,160.40,160.86,158.51,159.06,2759700,149.55,152.14,3.21,29.71,150.52,69.40,6.24,128.37,2.65,162.70,149.55,136.40,162111300.00,80.03
2023-11-22,160.03,161.41,159.61,160.53,2527500,150.54,152.94,3.46,31.13,152.48,71.46,7.06,128.75,2.62,163.86,150.54,137.23,164638800.00,79.84
2023-11-24,161.29,161.93,160.71,161.15,950700,151.58,153.72,3.66,32.57,154.26,72.31,7.48,121.51,2.54,164.82,151.58,138.34,165589500.00,78.90
2023-11-27,160.50,161.25,160.07,160.78,2146400,152.69,154.39,3.75,33.49,155.80,70.95,7.21,102.00,2.44,165.06,152.69,140.32,163443100.00,79.31
2023-11-28,160.66,162.68,160.36,162.37,2117800,153.79,155.15,3.90,34.67,157.02,73.26,8.72,105.24,2.43,165.49,153.79,142.09,165560900.00,79.72
2023-11-29,163.09,165.36,163.09,164.10,2720200,154.84,156.01,4.11,36.29,158.16,75.55,8.45,123.14,2.47,166.28,154.84,143.39,168281100.00,80.36
2023-11-30,164.66,167.77,164.20,167.37,4253100,156.03,157.09,4.49,38.16,159.60,79.17,10.65,139.09,2.56,167.48,156.03,144.57,172534200.00,86.83
2023-12-01,167.28,170.87,166.92,170.30,3412000,157.15,158.35,4.97,40.29,161.23,81.78,10.74,155.63,2.66,169.54,157.15,144.76,175946200.00,87.39
2023-12-04,169.42,171.82,169.23,169.80,3631000,158.16,159.44,5.26,42.37,163.16,79.94,8.67,148.38,2.65,171.21,158.16,145.10,172315200.00,88.07
2023-12-05,168.68,169.28,162.63,167.29,6452500,159.02,160.19,5.21,41.22,171.82,71.26,7.31,93.67,2.98,172.09,159.02,145.96,165862700.00,74.17
2023-12-06,168.31,168.95,163.86,164.18,3890700,159.73,160.57,4.87,40.15,171.82,62.27,3.05,78.44,3.13,172.28,159.73,147.18,161972000.00,65.86
2023-12-07,165.11,165.85,164.40,165.27,2797100,160.50,161.01,4.64,39.16,171.64,63.99,2.91,66.90,3.02,172.42,160.50,148.57,164769100.00,58.87
2023-12-08,164.99,165.77,164.24,165.08,2681300,161.29,161.40,4.39,38.16,171.46,63.46,3.78,58.67,2.92,172.20,161.29,150.38,162087800.00,52.54
2023-12-11,165.05,166.14,164.52,165.04,2811400,161.97,161.75,4.14,37.34,171.28,63.34,2.81,54.86,2.82,171.98,161.97,151.97,159276400.00,52.17
2023-12-12,165.04,167.68,164.43,167.64,2946200,162.79,162.31,4.10,36.98,171.11,67.67,4.03,69.23,2.85,171.79,162.79,153.80,162222600.00,58.64
2023-12-13,167.81,171.19,166.77,171.09,3207700,163.66,163.14,4.30,37.42,162.63,72.34,6.41,114.35,2.97,172.34,163.66,154.97,165430300.00,59.42
2023-12-14,172.25,176.32,172.11,175.30,4548100,164.61,164.30,4.75,38.65,162.80,76.76,7.97,186.79,3.13,173.99,164.61,155.22,169978400.00,62.69
2023-12-15,174.01,177.58,173.97,176.92,7139200,165.66,165.50,5.17,39.95,163.34,78.20,7.81,195.41,3.16,175.60,165.66,155.72,177117600.00,70.42
2023-12-18,177.77,179.20,177.43,179.13,2814400,166.65,166.80,5.62,41.35,164.20,80.02,7.02,200.17,3.10,177.74,166.65,155.56,179932000.00,70.95
2023-12-19,179.57,182.08,179.55,182.06,3978300,167.72,168.25,6.14,42.98,165.40,82.15,6.90,191.96,3.09,180.32,167.72,155.13,183910300.00,71.80
2023-12-20,181.66,181.96,176.95,177.06,4020700,168.62,169.09,6.08,43.35,167.06,68.70,4.27,133.00,3.23,181.18,168.62,156.06,179889600.00,64.12
2023-12-21,178.21,181.53,178.21,181.12,3496800,169.65,170.24,6.29,43.69,168.57,72.62,8.27,133.50,3.32,182.75,169.65,156.55,183386400.00,64.32
2023-12-22,181.95,182.66,180.96,181.88,2782600,170.69,171.35,6.44,44.19,169.92,73.29,10.78,130.23,3.21,184.21,170.69,157.17,186169000.00,63.89
2023-12-26,182.26,182.48,181.45,182.26,1230000,171.76,172.39,6.51,44.64,171.45,73.65,10.28,114.56,3.05,185.38,171.76,158.15,187399000.00,73.02
2023-12-27,182.44,183.41,181.93,183.34,1825400,172.81,173.43,6.58,45.22,172.79,74.66,11.06,108.71,2.94,186.60,172.81,159.02,189224400.00,79.94
2023-12-28,183.40,184.33,183.28,184.07,1486100,173.81,174.44,6.62,45.90,174.28,75.35,11.53,106.32,2.80,187.82,173.81,159.80,190710500.00,85.31
2023-12-29,184.02,184.56,182.82,183.61,1915000,174.62,175.32,6.54,46.28,175.89,74.00,9.53,94.17,2.73,188.92,174.62,160.32,188795500.00,86.30
2024-01-02,182.78,184.99,182.37,184.57,2236600,175.33,176.20,6.48,46.38,177.45,75.02,7.88,88.10,2.72,190.12,175.33,160.55,191032100.00,86.21
2024-01-03,182.97,183.76,181.90,182.61,2720500,175.97,176.81,6.20,46.20,178.96,69.08,4.17,69.67,2.72,190.86,175.97,161.09,188311600.00,79.82
2024-01-04,182.90,185.42,182.65,184.01,2777500,176.81,177.49,6.02,46.39,180.16,70.86,4.01,76.57,2.72,191.52,176.81,162.10,191089100.00,79.73
2024-01-05,183.70,186.34,183.40,185.90,2243300,177.90,178.29,5.97,46.75,181.21,73.11,3.78,84.04,2.74,191.91,177.90,163.89,193332400.00,78.69
2024-01-08,185.07,186.16,183.26,186.05,3442100,178.94,179.03,5.87,46.99,182.24,73.28,2.19,81.00,2.75,192.10,178.94,165.77,196774500.00,67.26
2024-01-09,184.69,184.85,183.22,183.65,2055500,179.86,179.47,5.53,47.20,183.06,65.83,3.72,62.03,2.75,191.53,179.86,168.20,194719000.00,60.92
2024-01-10,181.94,182.99,180.60,181.88,2757800,180.71,179.70,5.06,45.76,186.34,60.92,0.42,25.92,2.77,190.19,180.71,171.22,191961200.00,51.73
2024-01-11,181.92,182.26,179.00,181.94,3493300,181.42,179.91,4.64,43.61,186.23,61.02,0.03,-0.17,2.81,188.78,181.42,174.07,195454500.00,52.44
2024-01-12,182.72,183.29,178.91,179.00,3366300,181.82,179.83,4.02,41.96,185.94,53.36,-1.79,-36.77,2.92,187.59,181.82,176.05,192088200.00,42.59
2024-01-16,177.98,178.12,175.83,177.94,4142900,181.95,179.65,3.41,39.06,185.52,50.90,-2.94,-146.14,2.94,187.22,181.95,176.68,187945300.00,33.32
2024-01-17,176.45,178.56,176.01,177.97,2377600,182.00,179.49,2.89,36.54,184.74,50.97,-3.31,-147.18,2.91,187.09,182.00,176.92,190322900.00,35.29
2024-01-18,177.09,177.18,174.84,176.78,3215200,181.88,179.23,2.36,34.14,184.03,48.06,-3.72,-173.56,2.93,187.32,181.88,176.45,187107700.00,29.30
2024-01-19,177.97,180.31,176.41,180.11,3388900,181.79,179.31,2.18,32.64,183.11,55.66,-2.42,-79.12,3.00,187.28,181.79,176.29,190496600.00,32.54
2024-01-22,181.18,183.65,180.98,181.92,3145100,182.03,179.56,2.16,32.19,174.84,59.17,-0.38,13.77,3.04,187.08,182.03,176.98,193641700.00,39.22
2024-01-23,182.58,182.91,181.72,182.37,2327600,182.09,179.83,2.16,31.77,175.01,60.02,-0.89,15.96,2.90,187.12,182.09,177.06,195969300.00,39.33
2024-01-24,183.96,185.27,182.62,182.71,3052500,182.13,180.10,2.16,31.97,175.19,60.69,-1.71,52.21,2.90,187.17,182.13,177.10,199021800.00,46.40
2024-01-25,183.32,185.18,183.31,184.93,3472500,182.27,180.56,2.31,32.15,175.59,64.78,-0.60,75.87,2.87,187.45,182.27,177.09,202494300.00,47.30
2024-01-26,189.32,201.35,189.05,198.06,13555400,183.00,182.23,3.45,34.51,175.98,78.85,7.85,334.68,3.84,191.63,183.00,174.38,216049700.00,59.19
2024-01-29,198.53,199.51,195.74,197.50,4935500,183.68,183.68,4.26,36.70,177.50,77.43,8.59,281.55,3.84,194.37,183.68,172.98,211114200.00,66.73
2024-01-30,197.15,201.02,197.06,200.74,4284600,184.53,185.31,5.10,38.86,178.93,79.71,10.33,239.12,3.84,197.56,184.53,171.51,215398800.00,71.72
2024-01-31,199.02,201.89,197.30,197.38,3495000,185.17,186.46,5.44,40.93,180.27,71.65,10.27,175.41,3.90,199.35,185.17,170.99,211903800.00,70.45
