Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-28,10.185595297416896,10.259470806611908,9.945500332865873,9.982438087463379,5802810,0.0,0.0
2023-12-29,9.991672374597384,10.204065134851655,9.95473461811824,10.176362037658691,4670300,0.0,0.0
2024-01-02,10.27794062183384,10.453394744499949,10.185595790536576,10.388753890991211,7686107,0.0,0.0
2024-01-03,10.351815763000486,10.739662631461314,10.296408690077989,10.721193313598633,7267400,0.0,0.0
2024-01-04,10.721193449628412,10.97052395994481,10.628849501139994,10.859710693359375,6204326,0.0,0.0
2024-01-05,10.822772800512285,10.988992257948675,10.684255558538817,10.721193313598633,5223860,0.0,0.0
2024-01-08,10.804303831798551,10.813538491028316,10.573442635047874,10.67502212524414,7287500,0.0,0.0
2024-01-09,10.675022597617332,10.878179825668486,10.462629829262161,10.83200740814209,3871400,0.0,0.0
2024-01-10,10.795069044567983,10.88741387443952,10.61961492461074,10.785835266113281,3450000,0.0,0.0
2024-01-11,10.785835257539002,10.868945428224203,10.425691478124985,10.536504745483398,5820187,0.0,0.0
2024-01-12,10.554974654501484,10.730428784139917,10.453395159904735,10.656553268432617,3567527,0.0,0.0
2024-01-15,10.656552638881797,10.896648491079329,10.628849542294562,10.822772979736328,3595601,0.0,0.0
2024-01-16,10.850476264953613,10.868945583443224,10.693490580454231,10.850476264953613,2993700,0.0,0.0
2024-01-17,10.813538914749886,10.970524605144975,10.684256322464044,10.693490982055664,2571350,0.0,0.0
2024-01-18,10.665787840134122,10.776601112781533,10.416457316178244,10.730428695678711,5949799,0.0,0.0
2024-01-19,10.73042865190331,11.072103128005347,10.52727054587905,10.767366409301758,6562731,0.0,0.0
2024-01-22,10.71196029451406,10.748898052191738,10.167127708269096,10.268706321716309,6227100,0.0,0.0
2024-01-23,10.167127578809618,10.453394977000139,10.028610328782875,10.37951946258545,4304000,0.0,0.0
2024-01-24,10.379519293690647,10.77660083770752,10.361050855720292,10.77660083770752,6532840,0.0,0.0
2024-01-25,10.776600564980562,10.93358624675083,10.693490394553297,10.822772979736328,7646400,0.0,0.0
2024-01-26,10.785834832237356,11.035164453795952,10.684255347331733,10.979758262634277,8050642,0.0,0.0
2024-01-29,10.942820994512129,11.469184237262875,10.924351676193929,11.38607406616211,8816499,0.0,0.0
2024-01-30,11.27526115633959,11.63540494899215,11.238323399195655,11.266026496887207,5379201,0.0,0.0
2024-01-31,11.182916364971769,11.533825499484369,11.173682586150449,11.478419303894043,5654806,0.0,0.0
2024-02-01,11.29372944938674,11.478419113397642,11.099806887373347,11.201385498046875,7001388,0.0,0.0
2024-02-02,11.155213237717948,11.709280476151632,11.090572382811406,11.690811157226562,7600279,0.0,0.0
2024-02-05,11.681576412210811,12.143298813968796,11.478419189516522,12.014017105102539,9535754,0.0,0.0
2024-02-06,11.866265702981208,12.605020817948521,11.727748458425662,12.346456527709961,11286949,0.0,0.0
2024-02-07,12.272581690469071,12.46650513896854,12.05095514380271,12.392629623413086,8942683,0.0,0.0
2024-02-08,12.309518570633061,12.605020611786898,11.72774826661228,12.069422721862793,9575727,0.0,0.0
2024-02-19,12.060189467658,12.835882359394981,11.958609976098016,12.688131332397461,9325438,0.0,0.0
2024-02-20,12.586552780620615,13.380714994795165,12.475739509851998,13.325308799743652,9005702,0.0,0.0
2024-02-21,13.177557624903034,13.32530865094464,12.752772984700627,13.011337280273438,9259462,0.0,0.0
2024-02-22,12.882054607711252,13.085212707519531,12.817413754408172,13.085212707519531,6192742,0.0,0.0
2024-02-23,13.01133714650177,13.140618852626217,12.743538194388249,12.872819900512695,7672382,0.0,0.0
2024-02-26,12.808178958729135,12.81741361786422,12.115595375577964,12.309518814086914,15653851,0.0,0.0
2024-02-27,12.26334652650391,12.28181584496599,12.01401689192483,12.198705673217773,8202700,0.0,0.0
2024-02-28,12.106361257452944,12.595787645497174,11.92167246982569,12.217174530029297,9783383,0.0,0.0
2024-02-29,12.198705648657423,12.549614772740298,12.134064795501432,12.411097526550293,7892965,0.0,0.0
2024-03-01,12.43880218348551,12.641959413260592,12.281816490963006,12.457270622253418,5027809,0.0,0.0
2024-03-04,12.54961541331374,12.651194027838855,12.39262972135135,12.494208335876465,6685042,0.0,0.0
2024-03-05,12.558849501575924,13.057509653160128,12.475739329534294,13.048274993896484,7048647,0.0,0.0
2024-03-06,13.03903981833312,13.066742914361527,12.780475533848394,12.854351043701172,4037700,0.0,0.0
2024-03-07,12.780476181551558,13.112915992736816,12.780476181551558,13.112915992736816,4326300,0.0,0.0
2024-03-08,13.140619023049512,13.666983155569595,13.075978169148947,13.611576080322266,7071420,0.0,0.0
2024-03-11,13.574638066634193,13.574638066634193,13.112915677424422,13.196025848388672,7762835,0.0,0.0
2024-03-12,13.122149929287962,13.14061836633704,12.605020481930637,12.641958236694336,6453103,0.0,0.0
2024-03-13,12.58655222270206,12.835881850713125,12.235643107156571,12.743537902832031,8770632,0.0,0.0
2024-03-14,12.697365283966064,12.974398884476614,12.540379606365605,12.928226470947266,7678971,0.0,0.0
2024-03-15,12.882055319369835,13.103681869223038,12.558850154333651,12.669663429260254,9221605,0.0,0.0
